UPN,N_Y,E_X,Elv_Z,source_file,Source,Date_Scanned,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Data_Scanned ,id,hammeringStatus,positioningTime,hammeringTime,headHeight,finishedAt,reachedAt,machine
600233,365954.284,2261166.857,903.331,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,600233,COMPLETED,,0.001248079,275.3739962,2025-12-15 08:15:13,,Doyle-2500-011 - Machine 2
600234,365954.381,2261170.696,903.427,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,600234,COMPLETED,,0.001042639,275.4000759,2025-12-15 08:45:02,,Doyle-2500-011 - Machine 2
600235,365948.584,2261170.735,903.381,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,600235,COMPLETED,,0.001636007,275.3685609,2025-12-15 08:42:03,,Doyle-2500-011 - Machine 2
600236,365959.917,2261170.679,903.643,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,600236,COMPLETED,,0.000377662,275.4570592,2025-12-15 08:47:19,,Doyle-2500-011 - Machine 2
600237,365808.944,2261205.799,900.517,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,600237,COMPLETED,,0.003233299,274.5425123,2025-12-12 11:41:57,,Doyle-2500-011 - Machine 2
600238,365804.457,2261205.865,900.146,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,600238,COMPLETED,,0.001957662,274.4268642,2025-12-12 11:34:40,,Doyle-2500-011 - Machine 2
600239,365809.02,2261207.701,900.457,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,600239,COMPLETED,,0.001945417,274.5334219,2025-12-12 11:59:26,,Doyle-2500-011 - Machine 2
600240,365804.379,2261207.598,900.121,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,600240,COMPLETED,,0.00109287,274.4142171,2025-12-12 12:02:52,,Doyle-2500-011 - Machine 2
600241,365808.989,2261225.277,900.476,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,600241,COMPLETED,,0.000463715,274.5396259,2025-12-12 11:00:41,,Doyle-2500-011 - Machine 2
600242,365804.45,2261225.257,900.385,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,600242,COMPLETED,,0.001009109,274.4723693,2025-12-12 11:03:54,,Doyle-2500-011 - Machine 2
