UPN,N_Y,E_X,Elv_Z,source_file,Source,Date_Scanned,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Data_Scanned 
5679,366242.964,2260583.693,903.098,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5680,366006.961,2260583.754,901.195,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5681,366216.401,2260603.241,902.994,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5682,366189.716,2260603.253,902.885,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5683,366163.181,2260603.242,902.768,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5685,366136.575,2260700.818,901.927,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5686,366163.116,2260700.807,902.442,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5687,366189.754,2260700.789,902.892,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5688,366242.83,2260700.821,903.595,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5689,366269.554,2260700.796,903.775,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5690,366296.11,2260700.786,904.053,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5691,366322.766,2260700.863,904.337,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5692,365847.67,2260603.21,897.255,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5693,365874.113,2260603.179,898.64,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5694,365900.713,2260603.247,899.493,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5695,365927.363,2260603.297,900.053,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5696,365953.8,2260603.251,900.469,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5697,365980.407,2260603.226,900.986,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5698,366007.078,2260603.324,901.315,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5699,366033.519,2260603.178,901.633,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5700,366060.151,2260603.266,901.973,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5701,366109.977,2260603.27,902.469,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5702,366136.639,2260603.292,902.69,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5703,366269.594,2260583.774,903.26,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5704,366296.159,2260583.738,903.452,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
