id,hammeringStatus,positioningTime,hammeringTime,headHeight,finishedAt,reachedAt,machine
600240,COMPLETED,,0.00109287,274.4142171,2025-12-12 12:02:52,,Doyle-2500-011 - Machine 2
600241,COMPLETED,,0.000463715,274.5396259,2025-12-12 11:00:41,,Doyle-2500-011 - Machine 2
600242,COMPLETED,,0.001009109,274.4723693,2025-12-12 11:03:54,,Doyle-2500-011 - Machine 2
600243,COMPLETED,,0.000203067,273.8175253,2025-12-12 11:18:00,,Doyle-2500-011 - Machine 2
600244,COMPLETED,,0.000958299,274.484381,2025-12-12 11:23:27,,Doyle-2500-011 - Machine 2
400254,COMPLETED,,0.006508137,276.8349584,2025-12-17 08:09:06,,Doyle-2500-020 - Machine 3
400255,COMPLETED,0.000448738,0.002099769,270.3898619,2025-12-15 16:08:57,2025-12-15 16:05:50,Doyle-2500-020 - Machine 3
400256,COMPLETED,,0.002066238,276.9846233,2025-12-30 12:21:05,,Doyle-2500-007 - Machine 8
400257,COMPLETED,,0.003964306,275.6245731,2025-12-29 10:47:39,,Doyle-2500-010 - Machine 1
400258,COMPLETED,,0.00210022,274.7218248,2025-12-17 11:55:36,,Doyle-2500-011 - Machine 2
400259,COMPLETED,,0.005515197,275.1322432,2025-12-29 11:53:13,,Doyle-2500-010 - Machine 1
400260,COMPLETED,,0.000134167,273.3739016,2025-12-17 13:00:23,,Doyle-2500-011 - Machine 2
400261,COMPLETED,,0.004315984,275.3381491,2025-12-29 11:44:33,,Doyle-2500-010 - Machine 1
500229,COMPLETED,,0.001343866,273.1174656,2025-12-16 15:34:51,,Doyle-2500-011 - Machine 2
