UPN,N_Y,E_X,Elv_Z,Source,Data_Scanned 
25200,366208.245,2256719.53,889.6059295,BS_INV-28_T_S01,1/28/2026
15063,365500.4455,2256914.548,887.0494474,BS_INV-28_T_S01,1/28/2026
25201,366181.6401,2256719.495,889.6568403,BS_INV-28_T_S01,1/28/2026
15062,365473.8647,2256914.593,886.8253595,BS_INV-28_T_S01,1/28/2026
25202,366155.0625,2256719.48,889.9854333,BS_INV-28_T_S01,1/28/2026
15061,365447.2349,2256914.543,886.8159418,BS_INV-28_T_S01,1/28/2026
47456,366130.1274,2256719.481,890.1839612,BS_INV-28_T_S01,1/28/2026
15060,365420.6105,2256914.575,886.5548996,BS_INV-28_T_S01,1/28/2026
25203,366105.1601,2256719.518,890.210721,BS_INV-28_T_S01,1/28/2026
39924,365394.0299,2256914.555,886.604,BS_INV-28_T_S01,1/28/2026
39923,365367.4148,2256914.564,886.4653,BS_INV-28_T_S01,1/28/2026
44228,365842.704,2256894.984,891.051455,BS_INV-28_T_S01,1/28/2026
15059,365816.0851,2256895.033,890.3395404,BS_INV-28_T_S01,1/28/2026
31070,365998.9929,2256485.604,889.2247437,BS_INV-28_T_S01,1/28/2026
25231,366083.0381,2256719.481,890.4486687,BS_INV-28_T_S01,1/28/2026
15058,365789.4997,2256895.065,889.8725574,BS_INV-28_T_S01,1/28/2026
31084,365972.4145,2256485.527,889.172379,BS_INV-28_T_S01,1/28/2026
25230,366056.448,2256719.5,890.4107351,BS_INV-28_T_S01,1/28/2026
15071,365762.9415,2256895.096,889.4936014,BS_INV-28_T_S01,1/28/2026
31071,365945.7693,2256485.562,889.090588,BS_INV-28_T_S01,1/28/2026
41371,366034.2186,2256719.484,890.5083117,BS_INV-28_T_S01,1/28/2026
15088,365736.3237,2256895.126,888.9990917,BS_INV-28_T_S01,1/28/2026
31072,365919.2316,2256485.556,888.9142805,BS_INV-28_T_S01,1/28/2026
41370,366011.9356,2256719.427,890.766786,BS_INV-28_T_S01,1/28/2026
15103,365709.7761,2256895.078,888.5990636,BS_INV-28_T_S01,1/28/2026
45635,365892.5527,2256485.525,888.9258991,BS_INV-28_T_S01,1/28/2026
4922,366367.7225,2256680.44,887.3713488,BS_INV-28_T_S01,1/28/2026
4921,366341.2346,2256680.414,887.2696171,BS_INV-28_T_S01,1/28/2026
40863,366248.4539,2256466.006,887.2262977,BS_INV-28_T_S01,1/28/2026
4920,366314.5419,2256680.449,887.537465,BS_INV-28_T_S01,1/28/2026
15089,365683.1259,2256895.079,888.214333,BS_INV-28_T_S01,1/28/2026
40864,366226.2722,2256466.079,887.2212243,BS_INV-28_T_S01,1/28/2026
4897,366288.0277,2256680.431,887.6896088,BS_INV-28_T_S01,1/28/2026
15117,365656.6296,2256895.009,887.8517432,BS_INV-28_T_S01,1/28/2026
21257,366203.924,2256465.976,887.2179045,BS_INV-28_T_S01,1/28/2026
4939,366261.4263,2256680.481,887.8817791,BS_INV-28_T_S01,1/28/2026
15116,365629.9165,2256895.07,887.5762786,BS_INV-28_T_S01,1/28/2026
21244,366177.3209,2256466.046,887.2148892,BS_INV-28_T_S01,1/28/2026
4896,366234.8279,2256680.446,888.1259536,BS_INV-28_T_S01,1/28/2026
46675,365605.0521,2256895.016,887.3854777,BS_INV-28_T_S01,1/28/2026
21245,366155.0942,2256466.053,887.4028991,BS_INV-28_T_S01,1/28/2026
4894,366208.2263,2256680.517,888.4369103,BS_INV-28_T_S01,1/28/2026
15115,365580.0517,2256895.05,887.2530395,BS_INV-28_T_S01,1/28/2026
47131,366130.1934,2256465.96,887.6309618,BS_INV-28_T_S01,1/28/2026
4870,366181.6556,2256680.453,888.8493,BS_INV-28_T_S01,1/28/2026
15114,365553.4871,2256895.072,886.9618018,BS_INV-28_T_S01,1/28/2026
21246,366105.2974,2256466.071,887.8947055,BS_INV-28_T_S01,1/28/2026
4869,366155.1609,2256680.481,889.090934,BS_INV-28_T_S01,1/28/2026
21247,366078.6436,2256466.076,888.3881894,BS_INV-28_T_S01,1/28/2026
6024,366130.1604,2256680.454,889.5034052,BS_INV-28_T_S01,1/28/2026
15113,365526.9517,2256895.077,886.9041398,BS_INV-28_T_S01,1/28/2026
21248,366052.1118,2256466.047,888.6390905,BS_INV-28_T_S01,1/28/2026
4868,366105.1844,2256680.471,889.6457856,BS_INV-28_T_S01,1/28/2026
15112,365500.2245,2256895.074,886.7614659,BS_INV-28_T_S01,1/28/2026
21249,366025.5353,2256466.073,888.8529,BS_INV-28_T_S01,1/28/2026
4867,366078.6286,2256680.474,889.8851843,BS_INV-28_T_S01,1/28/2026
15111,365473.6001,2256895.056,886.7401973,BS_INV-28_T_S01,1/28/2026
21250,365998.9433,2256466.068,888.9019952,BS_INV-28_T_S01,1/28/2026
4866,366052.0303,2256680.484,890.0254469,BS_INV-28_T_S01,1/28/2026
15110,365447.1035,2256895.036,886.6750887,BS_INV-28_T_S01,1/28/2026
21251,365972.2898,2256466.03,888.8737935,BS_INV-28_T_S01,1/28/2026
4865,366025.4227,2256680.466,890.2689962,BS_INV-28_T_S01,1/28/2026
15109,365420.5428,2256895.035,886.6129566,BS_INV-28_T_S01,1/28/2026
21252,365945.75,2256465.992,888.7185183,BS_INV-28_T_S01,1/28/2026
