UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned,,,,,,,,,
13800,367310.209,2256837.983,887.266,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13801,367074.134,2256876.933,887.404,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13802,367150.568,2256876.942,887.024,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13803,367177.29,2256876.904,887.113,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13804,367203.748,2256876.946,886.903,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13805,367230.388,2256876.935,886.948,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13806,367256.955,2256876.953,887,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13807,367283.598,2256876.958,887.021,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13808,367310.143,2256876.976,887.134,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13809,367025.455,2256896.431,887.473,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13810,367051.805,2256896.416,887.251,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13811,367074.18,2256896.445,887.216,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13812,367124.048,2256896.422,887.031,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13813,367150.626,2256896.417,887.049,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13814,367177.208,2256896.404,887.138,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13815,367123.951,2256876.916,887.198,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13817,367283.471,2256837.936,887.146,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13818,367230.362,2256837.986,887.117,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13819,367051.905,2256798.904,888.149,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13820,367074.14,2256798.934,887.932,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13821,367123.978,2256798.884,887.76,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13822,367150.61,2256798.931,887.517,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13823,367177.155,2256798.879,887.378,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13824,367203.706,2256798.891,887.322,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13825,367230.385,2256798.931,887.326,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13826,367257.002,2256798.872,887.268,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13827,367283.559,2256799.015,887.137,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13828,367310.204,2256798.9,887.396,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13829,367025.305,2256818.343,888.225,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13830,367051.922,2256818.409,887.941,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13831,367074.198,2256818.406,887.8,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13832,367256.929,2256837.901,887.102,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13833,367124.007,2256818.405,887.588,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13834,367177.163,2256818.377,887.343,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13835,367203.737,2256818.396,887.072,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13836,367230.349,2256818.409,887.102,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13837,367256.969,2256818.405,887.259,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13838,367283.609,2256818.365,887.287,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13839,367310.076,2256818.354,887.432,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13840,367025.351,2256837.919,888.037,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13841,367051.856,2256837.907,887.777,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13842,367074.151,2256837.917,887.721,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13843,367123.914,2256837.922,887.508,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13844,367150.618,2256837.88,887.279,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13845,367177.12,2256837.951,887.168,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13846,367203.729,2256837.955,887.063,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13847,367150.514,2256818.481,887.426,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13848,367203.888,2256896.436,887.051,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13975,367230.356,2256896.414,887.161,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13976,367257.044,2256896.421,887.281,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13977,367283.536,2256896.415,887.092,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13978,367256.989,2257539.921,886.861,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13979,367283.551,2257539.984,886.995,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13980,367310.164,2257539.922,886.918,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13981,366914.691,2257559.44,886.734,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13982,366941.332,2257559.489,886.35,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13983,366967.833,2257559.476,886.185,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13984,366994.516,2257559.468,886.207,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13985,367021.019,2257559.453,886.294,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13986,367047.701,2257559.481,886.259,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13987,367074.193,2257559.391,886.191,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13988,367123.962,2257559.411,886.333,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13989,367150.709,2257559.512,886.23,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13990,367177.239,2257559.486,886.131,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13991,367203.901,2257559.472,886.533,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13992,367230.393,2257559.484,887.123,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13993,367257.02,2257559.518,887.271,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13994,367283.563,2257559.479,887.1,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13995,367310.191,2257559.435,886.936,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14005,367230.482,2257540.012,886.538,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14006,367203.895,2257539.879,886.402,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14007,367177.282,2257539.934,886.102,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14008,367150.724,2257539.972,886.278,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14009,367203.797,2257130.455,888.616,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14010,367230.287,2257130.451,888.583,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14011,367257.012,2257130.428,888.446,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14012,367283.586,2257130.428,888.437,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14013,367310.201,2257130.456,888.359,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14014,366914.655,2257520.542,886.375,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14015,366941.257,2257520.55,886.399,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14016,366967.918,2257520.504,886.514,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14017,366994.418,2257520.483,886.482,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14018,367021.068,2257520.491,886.478,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14019,367047.647,2257520.543,886.394,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14020,367074.252,2257520.511,886.28,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14021,367123.906,2257520.505,886.56,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14023,367150.583,2257520.486,886.287,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14024,367203.832,2257520.521,886.155,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14025,367230.415,2257520.479,886.467,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14026,367256.948,2257520.489,886.588,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14027,367283.604,2257520.464,886.802,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14028,367310.296,2257520.48,887.039,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14029,366914.565,2257539.887,886.606,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14030,366941.294,2257540.034,886.256,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
14031,366967.885,2257539.942,886.193,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
