UPN,Northing,Easting,Elevation
18931,366109.961,2263177.272,909.360307
46971,366085.0481,2263177.272,909.5225557
18930,366060.1363,2263177.272,909.8075914
18929,366033.5445,2263177.272,909.9936177
18928,366006.9522,2263177.272,909.8779615
18927,365980.3629,2263177.272,909.4606213
18926,365953.7801,2263177.272,908.7416001
18925,365927.2072,2263177.272,907.7208963
18924,365900.6476,2263177.272,906.3987891
18923,365874.0872,2263177.272,905.0932661
44739,365847.5135,2263177.272,904.0894214
41015,366322.67,2263352.772,913.3132919
41031,366296.0967,2263352.772,912.3025569
21473,366269.5181,2263352.772,911.4416793
21472,366242.9411,2263352.772,910.5354638
21471,366216.3631,2263352.772,909.6550432
21470,366189.7796,2263352.772,908.9610952
21469,366163.19,2263352.772,908.5688297
21468,366136.5977,2263352.772,908.4782465
21467,366110.0055,2263352.772,908.6033023
47160,366085.0926,2263352.772,908.4378281
21480,366060.1832,2263352.772,907.9897203
21466,366037.9408,2263352.772,907.3373548
21464,366011.3703,2263352.772,906.256144
41030,365989.1484,2263352.772,905.0993614
41029,365966.9205,2263352.772,904.0662096
40997,366322.6658,2263333.272,913.6205731
41012,366296.0972,2263333.272,912.4934744
21433,366269.5203,2263333.272,911.5842298
21450,366242.9434,2263333.272,910.6725993
21465,366216.364,2263333.272,909.8347219
21451,366189.7788,2263333.272,909.2128311
21479,366163.1898,2263333.272,908.7776168
21478,366136.5977,2263333.272,908.6427303
21477,366110.0055,2263333.272,908.772488
47159,366085.0926,2263333.272,908.6119345
21476,366060.1831,2263333.272,908.1687711
21475,366037.9406,2263333.272,907.520508
21474,366011.3699,2263333.272,906.4441116
41013,365989.1478,2263333.272,905.2910646
41014,365966.9146,2263333.272,904.3781757
40966,366322.6626,2263313.772,913.9299556
40965,366296.0984,2263313.772,912.7020761
21497,366269.5229,2263313.772,911.7531453
21496,366242.9441,2263313.772,910.8979115
21495,366216.3616,2263313.772,910.1655284
21494,366189.7777,2263313.772,909.4918487
21493,366163.1898,2263313.772,908.9953585
21492,366136.598,2263313.772,908.8005506
21491,366110.0057,2263313.772,908.9071078
47210,366085.0926,2263313.772,908.7884491
21490,366060.1824,2263313.772,908.3871567
21489,366037.9388,2263313.772,907.7762919
21488,366011.3663,2263313.772,906.7450492
40964,365989.1287,2263313.772,905.9445982
40963,365966.8933,2263313.772,905.0873853
44579,366322.6568,2263294.272,914.2512975
8476,366296.0957,2263294.272,912.9601089
8475,366269.5216,2263294.272,911.9706025
8442,366242.9408,2263294.272,911.1813357
8441,366216.3585,2263294.272,910.4403375
8440,366189.7766,2263294.272,909.6913178
8424,366163.1898,2263294.272,909.1411815
8406,366136.5984,2263294.272,908.8927276
8405,366110.006,2263294.272,908.9459562
46186,366085.0926,2263294.272,908.9610738
8404,366060.1806,2263294.272,908.6951909
8403,366037.934,2263294.272,908.2052703
8402,366011.3552,2263294.272,907.3506757
39174,365989.1098,2263294.272,906.8127149
39173,365966.8718,2263294.272,906.0236199
28715,366006.9953,2263040.772,910.0307964
21808,365428.6909,2263274.772,906.3007704
21807,365402.1052,2263274.772,905.6999822
28714,365980.403,2263040.772,909.8945449
21806,365375.5146,2263274.772,905.3825525
28713,365953.8128,2263040.772,909.5485819
40600,365348.9221,2263274.772,905.3668052
28712,365927.2218,2263040.772,909.266651
40599,365322.3311,2263274.772,905.6527413
28711,365900.6357,2263040.772,908.6830378
40606,365797.5535,2263294.272,902.1557454
40605,365770.963,2263294.272,901.8337089
28710,365874.0579,2263040.772,907.7987015
21703,365744.3705,2263294.272,901.8133545
44859,365847.4767,2263040.772,907.0187807
21735,365717.778,2263294.272,901.7793545
44085,365797.5766,2263040.772,906.6282125
21736,365691.1854,2263294.272,901.7384709
12460,365770.9844,2263040.772,906.508659
21737,365664.5929,2263294.272,901.7265165
12459,365744.3952,2263040.772,906.0874233
21829,365638.002,2263294.272,902.0162446
12458,365717.8126,2263040.772,905.3645052
12457,365691.2265,2263040.772,904.774933
21828,365611.4161,2263294.272,902.6076551
12456,365664.6355,2263040.772,904.4870456
21827,365584.8386,2263294.272,903.5007482
12455,365638.0431,2263040.772,904.5008406
47170,365559.9496,2263294.272,904.6033388
12454,365611.4524,2263040.772,904.8163182
21826,365535.0497,2263294.272,905.4232957
12453,365584.8622,2263040.772,905.1621
21825,365508.4634,2263294.272,905.9968332
46491,365559.9496,2263040.772,905.3653
21824,365481.8723,2263294.272,906.2686881
12452,365535.0372,2263040.772,905.5923
21823,365455.2797,2263294.272,906.2388603
12451,365508.4448,2263040.772,905.5380858
21822,365428.6893,2263294.272,905.9073501
12478,365481.8524,2263040.772,905.4682277
21821,365402.1043,2263294.272,905.2741573
12479,365455.2624,2263040.772,905.0966858
21820,365375.5141,2263294.272,904.9250513
12480,365428.6732,2263040.772,904.6778
40604,365348.9216,2263294.272,904.8776278
12481,365402.082,2263040.772,904.4103257
40603,365322.3302,2263294.272,905.1318875
12509,365375.4895,2263040.772,904.3875197
40591,365797.5697,2263313.772,903.1965159
39873,365348.8985,2263040.772,904.6663961
40608,365770.9841,2263313.772,902.5942169
39880,365322.3122,2263040.772,905.2469569
21656,365744.3933,2263313.772,902.2936
44716,366322.6426,2263060.272,915.806928
21654,365717.8008,2263313.772,902.236
19032,366296.089,2263060.272,914.3704196
21653,365691.2083,2263313.772,902.1784
19047,366269.5207,2263060.272,913.2355935
21652,365664.6159,2263313.772,902.108025
19033,366242.9412,2263060.272,912.4024497
21651,365638.0234,2263313.772,902.1322196
19061,366216.3572,2263060.272,911.7290868
21650,365611.4329,2263313.772,902.4580968
19060,366189.7704,2263060.272,911.1753966
21649,365584.8478,2263313.772,903.0856565
19059,366163.1848,2263060.272,910.5729128
47185,365559.9496,2263313.772,903.9562244
19058,366136.5973,2263060.272,910.0550651
21648,365535.0515,2263313.772,904.8303088
19057,366110.006,2263060.272,909.8028518
47171,366085.0926,2263060.272,909.7841686
21647,365508.4665,2263313.772,905.4616217
19056,366060.1793,2263060.272,909.7193773
21646,365481.8761,2263313.772,905.791252
19055,366033.5878,2263060.272,909.9504771
21645,365455.2835,2263313.772,905.8192001
19054,366006.9955,2263060.272,910.0471258
