UPN,N_Y,E_X,Elv_Z,source_file,Source,Date_Scanned,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Data_Scanned 
400100,367374.027,2258825.902,891.471,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
400101,367507.288,2258845.42,885.571,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
400102,367374.064,2258845.439,891.693,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
500082,367329.61,2258838.483,890.91,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
500083,367329.692,2258843.665,890.614,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
500084,367329.755,2258852.353,890.72,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
600087,367375.113,2258824.998,893.626,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
600088,367379.86,2258825.079,893.463,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
600089,367375.177,2258826.794,893.787,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
600090,367379.836,2258826.878,893.585,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
600091,367375.175,2258844.539,893.818,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
600092,367379.843,2258844.559,893.703,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
600093,367377.373,2258846.425,893.776,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
600094,367379.747,2258846.305,893.682,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
600095,367224.252,2258864.13,893.195,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
600096,367237.996,2258864.04,893.258,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
600097,367231.14,2258863.99,893.253,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
600098,367230.032,2258867.83,893.431,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
600099,367224.204,2258867.822,893.34,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
600100,367235.504,2258867.85,893.32,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
400218,366581.316,2260839.575,911.257,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
400219,366581.263,2260425.253,906.32,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
400220,366084.112,2260859.075,899.84,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
400221,365560.916,2260405.777,893.755,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
400222,366084.18,2260405.796,900.435,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
400223,365561.006,2260859.271,889.153,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
400224,366087.533,2260621.657,900.545,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
400225,365942.866,2260621.772,898.979,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
400226,366584.803,2260623.721,912.129,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
400227,365942.907,2260623.832,898.947,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
400228,365811.723,2260680.999,898.762,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
400229,365557.619,2260680.416,888.325,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
600219,365954.376,2260620.888,902.552,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
600220,365949.265,2260621.009,902.393,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
600221,365959.927,2260620.887,902.538,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
600222,365943.804,2260620.818,902.335,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
600223,365954.663,2260624.512,902.581,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
600224,365949.452,2260624.59,902.529,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
600225,365959.803,2260624.576,902.637,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
600226,365943.865,2260624.6,902.446,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
600227,365811.401,2260679.391,898.994,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
600228,365804.508,2260679.444,898.208,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
600229,365804.591,2260681.122,898.233,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
600230,365811.716,2260681.096,898.756,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
400230,366084.093,2261541.726,902.615,LaRock_INV-21_Z-01_T_S03.csv,BS_INV-21_T_S03,1/6/2026,,,,,,,,,,
400231,366084.002,2260873.888,899.507,LaRock_INV-21_Z-01_T_S03.csv,BS_INV-21_T_S03,1/6/2026,,,,,,,,,,
400235,366087.486,2261169.764,900.063,LaRock_INV-21_Z-01_T_S03.csv,BS_INV-21_T_S03,1/6/2026,,,,,,,,,,
400237,366087.576,2261167.625,900.014,LaRock_INV-21_Z-01_T_S03.csv,BS_INV-21_T_S03,1/6/2026,,,,,,,,,,
